"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_7372","Produits résiduels","7372","account.data_account_type_revenue","l10n_ohada.gc_737","l10n_ohada.ohada_chart_template",,,
"pcg_751","PRODUITS SUR CRÉANCES CLIENTS ET AUTRES DÉBITEURS","751","account.data_account_type_revenue","l10n_ohada.gc_75","l10n_ohada.ohada_chart_template",,,
"pcg_7521","Quote-part transférée de pertes (comptabilité du gérant)","7521","account.data_account_type_revenue","l10n_ohada.gc_752","l10n_ohada.ohada_chart_template",,,
"pcg_7525","Bénéfices attribués par transfert (comptabilité des associés non gérants)","7525","account.data_account_type_revenue","l10n_ohada.gc_752","l10n_ohada.ohada_chart_template",,,
"pcg_7541","Immobilisations incorporelles","7541","account.data_account_type_revenue","l10n_ohada.gc_754","l10n_ohada.ohada_chart_template",,,
"pcg_7542","Immobilisations corporelles","7542","account.data_account_type_revenue","l10n_ohada.gc_754","l10n_ohada.ohada_chart_template",,,
"pcg_756","GAINS DE CHANGE SUR CREANCES ET DETTES COMMERCIALES","756","account.data_account_type_revenue","l10n_ohada.gc_75","l10n_ohada.ohada_chart_template",,,
"pcg_7581","Indemnités de fonction et autres rémunérations d'administrateurs","7581","account.data_account_type_revenue","l10n_ohada.gc_758","l10n_ohada.ohada_chart_template",,,
"pcg_7582","Indemnités d’assurances reçues","7582","account.data_account_type_revenue","l10n_ohada.gc_758","l10n_ohada.ohada_chart_template",,,
"pcg_7588","Autres produits divers","7588","account.data_account_type_revenue","l10n_ohada.gc_758","l10n_ohada.ohada_chart_template",,,
"pcg_7591","sur risques à court terme","7591","account.data_account_type_revenue","l10n_ohada.gc_759","l10n_ohada.ohada_chart_template",,,
"pcg_7593","sur stocks","7593","account.data_account_type_revenue","l10n_ohada.gc_759","l10n_ohada.ohada_chart_template",,,
"pcg_7594","sur créances","7594","account.data_account_type_revenue","l10n_ohada.gc_759","l10n_ohada.ohada_chart_template",,,
"pcg_7598","sur autres charges pour dépréciation et provisions pour risques à court terme d'exploitation","7598","account.data_account_type_revenue","l10n_ohada.gc_759","l10n_ohada.ohada_chart_template",,,
"pcg_7712","Intérêt de prêts","7712","account.data_account_type_revenue","l10n_ohada.gc_771","l10n_ohada.ohada_chart_template",,,
"pcg_7713","Intérêt sur créances diverses","7713","account.data_account_type_revenue","l10n_ohada.gc_771","l10n_ohada.ohada_chart_template",,,
"pcg_7721","Revenus de titres de participation","7721","account.data_account_type_revenue","l10n_ohada.gc_772","l10n_ohada.ohada_chart_template",,,
"pcg_7722","Revenus autres titres immobilisés","7722","account.data_account_type_revenue","l10n_ohada.gc_772","l10n_ohada.ohada_chart_template",,,
